Nom;Sexe;Age;Nation;Continent;Ranking;Kata;Style;Note;N_Tour;Competition;Region_monde;Ceinture;Victoire;Type_Compet;Year
Armada_Ruiz_Andrea;F;24;VEN;South_Am;53;Ohan_Dai;ShitoRyu;38.3;Pool_1;K1_Paris;West_EUR;R;False;K1;2024
Putri_Aprilia_Krisda;F;25;INA;Est_Asia;34;Ohan_Dai;ShitoRyu;38.7;Pool_1;K1_Paris;West_EUR;B;True;K1;2024
Bozan_Dilara;F;27;TUR;Europe;7;Kururunfa;ShitoRyu;40.7;Pool_1;K1_Paris;West_EUR;R;True;K1;2024
Minano_Lanyfer;F;20;SUI;Europe;43;Kururunfa;ShitoRyu;38.8;Pool_1;K1_Paris;West_EUR;B;False;K1;2024
Putri_Aprilia_Krisda;F;25;INA;Est_Asia;34;Papuren;ShitoRyu;38.7;Pool_2;K1_Paris;West_EUR;R;False;K1;2024
Bozan_Dilara;F;27;TUR;Europe;7;Papuren;ShitoRyu;39.3;Pool_2;K1_Paris;West_EUR;B;True;K1;2024
Armada_Ruiz_Andrea;F;24;VEN;South_Am;53;Chibana_No_Kushanku;ShitoRyu;37.6;Pool_2;K1_Paris;West_EUR;R;False;K1;2024
Minano_Lanyfer;F;20;SUI;Europe;43;Ohan_Dai;ShitoRyu;37.6;Pool_2;K1_Paris;West_EUR;B;True;K1;2024
Armada_Ruiz_Andrea;F;24;VEN;South_Am;53;Papuren;ShitoRyu;38.9;Pool_3;K1_Paris;West_EUR;R;False;K1;2024
Bozan_Dilara;F;27;TUR;Europe;7;Ohan_Dai;ShitoRyu;40.9;Pool_3;K1_Paris;West_EUR;B;True;K1;2024
Putri_Aprilia_Krisda;F;25;INA;Est_Asia;34;Suparinpei;ShitoRyu;38.3;Pool_3;K1_Paris;West_EUR;R;False;K1;2024
Minano_Lanyfer;F;20;SUI;Europe;43;Papuren;ShitoRyu;39.1;Pool_2;K1_Paris;West_EUR;B;True;K1;2024
Tsiakmaki_Athina;F;16;GRE;Europe;24;Anan_Dai;ShitoRyu;37.8;Pool_1;K1_Paris;West_EUR;R;True;K1;2024
Williams_Danni;F;19;ENG;Europe;78;Kururunfa;ShitoRyu;37.7;Pool_1;K1_Paris;West_EUR;B;False;K1;2024
Miskova_Veronika;F;31;CZE;Europe;28;Suparinpei;ShitoRyu;39.4;Pool_1;K1_Paris;West_EUR;R;False;K1;2024
Ohuchi_Mirisa;F;22;JPN;Est_Asia;6;Chibana_No_Kushanku;ShitoRyu;42.1;Pool_1;K1_Paris;West_EUR;B;True;K1;2024
Williams_Danni;F;19;ENG;Europe;78;Papuren;ShitoRyu;37.2;Pool_2;K1_Paris;West_EUR;R;False;K1;2024
Miskova_Veronika;F;31;CZE;Europe;28;Kururunfa;ShitoRyu;38.9;Pool_2;K1_Paris;West_EUR;B;True;K1;2024
Tsiakmaki_Athina;F;16;GRE;Europe;24;Suparinpei;ShitoRyu;37.7;Pool_2;K1_Paris;West_EUR;R;False;K1;2024
Ohuchi_Mirisa;F;22;JPN;Est_Asia;6;Suparinpei;ShitoRyu;40.9;Pool_2;K1_Paris;West_EUR;B;True;K1;2024
Tsiakmaki_Athina;F;16;GRE;Europe;24;Papuren;ShitoRyu;39.3;Pool_3;K1_Paris;West_EUR;R;False;K1;2024
Miskova_Veronika;F;31;CZE;Europe;28;Papuren;ShitoRyu;39.9;Pool_3;K1_Paris;West_EUR;B;True;K1;2024
Williams_Danni;F;19;ENG;Europe;78;Anan;ShitoRyu;37.5;Pool_3;K1_Paris;West_EUR;R;False;K1;2024
Ohuchi_Mirisa;F;22;JPN;Est_Asia;6;Nipaipo;ShitoRyu;41.6;Pool_3;K1_Paris;West_EUR;B;True;K1;2024
Morales_Ozuna_Gema;F;28;ESP;Europe;32;Chibana_No_Kushanku;ShitoRyu;38.6;Pool_1;K1_Paris;West_EUR;R;True;K1;2024
Feracci_Alexandra;F;31;FRA;Europe;45;Papuren;ShitoRyu;37;Pool_1;K1_Paris;West_EUR;B;False;K1;2024
Donofrio_Terryana;F;27;ITA;Europe;10;Kururunfa;ShitoRyu;39.7;Pool_1;K1_Paris;West_EUR;R;True;K1;2024
Jay_Shirley;F;16;GER;Europe;19;Papuren;ShitoRyu;34.9;Pool_1;K1_Paris;West_EUR;B;False;K1;2024
Feracci_Alexandra;F;31;FRA;Europe;45;Kishimoto_No_Kushanku;ShitoRyu;39;Pool_2;K1_Paris;West_EUR;R;False;K1;2024
Donofrio_Terryana;F;27;ITA;Europe;10;Ohan_Dai;ShitoRyu;41;Pool_2;K1_Paris;West_EUR;B;True;K1;2024
Morales_Ozuna_Gema;F;28;ESP;Europe;32;Suparinpei;ShitoRyu;39.4;Pool_2;K1_Paris;West_EUR;R;True;K1;2024
Jay_Shirley;F;16;GER;Europe;19;Chatanyara_Kushanku;ShitoRyu;39.3;Pool_2;K1_Paris;West_EUR;B;False;K1;2024
Morales_Ozuna_Gema;F;28;ESP;Europe;32;Chatanyara_Kushanku;ShitoRyu;39.4;Pool_3;K1_Paris;West_EUR;R;False;K1;2024
Donofrio_Terryana;F;27;ITA;Europe;10;Papuren;ShitoRyu;41;Pool_3;K1_Paris;West_EUR;B;True;K1;2024
Feracci_Alexandra;F;31;FRA;Europe;45;Kururunfa;ShitoRyu;39.5;Pool_3;K1_Paris;West_EUR;R;True;K1;2024
Jay_Shirley;F;16;GER;Europe;19;Anan_Dai;ShitoRyu;37.9;Pool_3;K1_Paris;West_EUR;B;False;K1;2024
Lo_Sum_Man;F;22;HKG;Est_Asia;36;Papuren;ShitoRyu;39.1;Pool_1;K1_Paris;West_EUR;R;True;K1;2024
Mariana_Semblano;F;23;POR;Europe;124;Ohan_Dai;ShitoRyu;36.9;Pool_1;K1_Paris;West_EUR;B;False;K1;2024
Azuma_Saeko;F;23;JPN;Est_Asia;9;Chatanyara_Kushanku;ShitoRyu;40.6;Pool_1;K1_Paris;West_EUR;R;True;K1;2024
Kokumai_Sakura;F;31;USA;North_Am;5;Papuren;ShitoRyu;39.7;Pool_1;K1_Paris;West_EUR;B;False;K1;2024
Mariana_Semblano;F;23;POR;Europe;124;Suparinpei;ShitoRyu;37.8;Pool_2;K1_Paris;West_EUR;R;False;K1;2024
Azuma_Saeko;F;23;JPN;Est_Asia;9;Suparinpei;ShitoRyu;41.3;Pool_2;K1_Paris;West_EUR;B;True;K1;2024
Lo_Sum_Man;F;22;HKG;Est_Asia;36;Chatanyara_Kushanku;ShitoRyu;39.3;Pool_2;K1_Paris;West_EUR;R;False;K1;2024
Kokumai_Sakura;F;31;USA;North_Am;5;Chibana_No_Kushanku;ShitoRyu;39.6;Pool_2;K1_Paris;West_EUR;B;True;K1;2024
Lo_Sum_Man;F;22;HKG;Est_Asia;36;Suparinpei;ShitoRyu;39.7;Pool_3;K1_Paris;West_EUR;R;False;K1;2024
Azuma_Saeko;F;23;JPN;Est_Asia;9;Papuren;ShitoRyu;42.1;Pool_3;K1_Paris;West_EUR;B;True;K1;2024
Mariana_Semblano;F;23;POR;Europe;124;Kururunfa;ShitoRyu;37.1;Pool_3;K1_Paris;West_EUR;R;False;K1;2024
Kokumai_Sakura;F;31;USA;North_Am;5;Kururunfa;ShitoRyu;39.8;Pool_3;K1_Paris;West_EUR;B;True;K1;2024
Juettner_Jasmin;F;31;GER;Europe;28;Gojushiho_Sho;Shotokan;38.4;Pool_1;K1_Paris;West_EUR;R;False;K1;2024
Afsaneh_Mahsa;F;36;IRI;West_Asia;26;Kishimoto_No_Kushanku;ShitoRyu;39.4;Pool_1;K1_Paris;West_EUR;B;True;K1;2024
Vanusanikova_Jana;F;24;SVK;Europe;62;Papuren;ShitoRyu;37.1;Pool_1;K1_Paris;West_EUR;R;False;K1;2024
Manca_Chiara;F;19;BEL;Europe;22;Ohan_Dai;ShitoRyu;38.9;Pool_1;K1_Paris;West_EUR;B;True;K1;2024
Afsaneh_Mahsa;F;36;IRI;West_Asia;26;Gojushiho_Dai;Shotokan;39.1;Pool_2;K1_Paris;West_EUR;R;True;K1;2024
Vanusanikova_Jana;F;24;SVK;Europe;62;Suparinpei;ShitoRyu;36.6;Pool_2;K1_Paris;West_EUR;B;False;K1;2024
Juettner_Jasmin;F;31;GER;Europe;28;Unsu;Shotokan;38.6;Pool_2;K1_Paris;West_EUR;R;False;K1;2024
Manca_Chiara;F;19;BEL;Europe;22;Suparinpei;ShitoRyu;39.2;Pool_2;K1_Paris;West_EUR;B;True;K1;2024
